Keyword,Cluster,Tags,Landing Page,Owning Issue,Priority,Monthly Volume (US),Keyword Difficulty %,CPC (USD),Competition
commercial roofing los angeles,Commercial roofing LA,commercial; los-angeles; money; wave-7,/services/commercial-roofing,AVD-298,P1,720,18,20.33,0.07
los angeles commercial roofing,Commercial roofing LA,commercial; los-angeles; money; wave-7,/services/commercial-roofing,AVD-298,P1,390,18,20.33,0.07
commercial roofing contractors los angeles,Commercial roofing LA,commercial; los-angeles; money; wave-7,/services/commercial-roofing,AVD-298,P1,590,20,20.33,0.07
roof leak repair los angeles,Roof leak repair LA,leak-repair; los-angeles; money; wave-7,/services/roof-leak-repair,AVD-300,P1,210,6,24.35,0.19
roof inspection los angeles,Roof inspection LA,inspection; los-angeles; money; wave-7,/services/roof-inspections,AVD-301,P1,210,8,32.74,0.54
flat roof repair los angeles,Flat roof repair LA,flat-roof; commercial; los-angeles; money; wave-7,/services/flat-roof-repair,AVD-302,P1,170,10,0.00,0.03
roofing glendale,City geo - Glendale,city-geo; glendale; money; wave-7,/service-areas/glendale,AVD-303,P2,210,14,23.25,0.08
roof repair glendale,City geo - Glendale,city-geo; glendale; money; wave-7,/service-areas/glendale,AVD-303,P2,90,13,32.80,0.53
roofing santa monica,City geo - Santa Monica,city-geo; santa-monica; money; wave-7,/service-areas/santa-monica,AVD-304,P2,140,20,37.59,0.06
roof repair pasadena,City geo - Pasadena,city-geo; pasadena; money; wave-7,/service-areas/pasadena,AVD-304,P2,210,22,25.46,0.68
emergency roof repair los angeles,Emergency roofing LA,emergency; los-angeles; money; wave-7,/services/emergency-roofing,AVD-297,P1,70,2,0.00,0.78
roofing los angeles,Head term (deferred),head-term; los-angeles; money; deferred,/service-areas/los-angeles,AVD-297,P3,1000,43,31.75,0.35
roof repair los angeles,Head term (deferred),head-term; los-angeles; money; deferred,/services/roof-repair,AVD-297,P3,1000,46,33.06,0.38
roof repair near me,Near-me / local pack,near-me; money; local-pack,/services/roof-repair,AVD-297,P3,74000,44,26.01,0.43
roofing contractor near me,Near-me / local pack,near-me; money; local-pack,/,AVD-297,P3,33100,69,28.93,0.10
